,step,x,y,z,person
61,1.8598,-2.7241,3.1054,8.6625,1
62,1.8899,-2.261,3.7184,8.8941,1
63,1.9198,-1.8796,4.018,8.8124,1
64,1.9501,-1.5255,3.8273,8.8941,1
65,1.9798,-1.3757,3.8273,8.7306,1
66,2.0099,-1.4574,3.6366,7.8589,1
67,2.0398,-1.5663,3.5277,8.3084,1
68,2.0697,-2.5334,3.5958,9.5342,1
69,2.0998,-2.6423,3.6366,9.8066,1
70,2.1298,-2.7922,4.1814,9.8066,1
71,2.1601,-3.0237,4.985,9.2755,1
72,2.1898,-3.4868,5.1757,8.2812,1
73,2.2199,-3.6366,4.2904,7.355,1
74,2.2498,-4.3721,4.3721,6.4697,1
75,2.2898,-4.6718,6.3607,6.4697,1
76,2.3198,-3.6775,6.5105,5.2438,1
77,2.3499,-3.4868,7.2733,4.7944,1
78,2.3809,-3.6775,6.2381,5.2847,1
79,2.4098,-4.5901,6.0883,6.5514,1
80,2.4398,-5.093999999999999,6.8238,5.2166,1
81,2.4702,-4.3994,8.1177,5.3256,1
82,2.4998,-3.6366,8.0496,4.0997,1
83,2.5298,-3.8682,6.6331,2.9148,1
84,2.5598,-2.9556,5.2438,4.6037,1
85,2.5897,-3.4051,9.6977,5.1349,1
86,2.6198,-4.4811,10.732999999999999,2.5334,1
87,2.6498,-3.5958,9.9565,2.5334,1
88,2.6798,-2.7241,9.6568,2.7241,1
89,2.7098,-1.3348,9.507,2.7922,1
90,2.7399,-0.91256,8.5808,1.9205,1
91,2.7702,-2.7513,7.1643,4.2495,1
92,2.7998,-2.3018,8.3084,5.2438,1
93,2.8299,-1.0351,8.431000000000001,4.4811,1
94,2.8599,-3.2144,7.7364,4.2087,1
95,2.8897,-3.909,10.76,2.9148,1
96,2.9199,-1.8387,14.206,1.9477,1
97,2.9498,1.4982,13.103,2.1112,1
98,2.9811,-0.040861,11.645,5.7886,1
99,3.0099,0.14982,7.5457,4.7535,1
100,3.0398,-0.84446,6.4016,2.6832,1
101,3.0698,-1.757,6.5922,8.4991,1
102,3.0999,3.1054,4.522,3.4868,1
103,3.1298,-0.34051,5.3256,3.9499,1
104,3.1598,-2.2201,7.2052,7.6274,1
105,3.1898,-0.72188,8.2403,5.6252,1
106,3.2198,0.081722,8.0496,4.522,1
107,3.2501,-0.8853200000000001,8.0769,4.6718,1
108,3.2798,-1.8796,7.8862,5.2847,1
109,3.3098,-0.76274,8.0088,5.4345,1
110,3.3401,-0.76274,9.616,4.6309,1
111,3.3698,0.8036,8.8124,4.2904,1
112,3.3998,-1.3348,5.6661,5.0531,1
113,3.4297,-1.0351,7.5457,5.4345,1
114,3.4598,-0.50395,10.651,3.6366,1
115,3.4898,0.0,9.9565,3.9499,1
116,3.5198,-0.8853200000000001,9.3027,5.3256,1
117,3.5499,-1.9886,8.54,5.7069,1
118,3.5798,-0.61292,11.305,5.8295,1
119,3.6101,1.0759999999999998,12.299000000000001,5.093999999999999,1
120,3.64,0.23155,10.883,3.5958,1
121,3.6701,-1.7979,10.379000000000001,3.4459,1
122,3.7136,0.5311899999999999,9.6977,4.985,1
123,3.7498,4.7535,7.0826,2.6423,1
124,3.7827,4.0589,6.0883,1.4574,1
125,3.8202,3.2961,6.7421,0.84446,1
126,3.8634,3.2144,6.279,0.50395,1
127,3.8998,4.7535,5.4754,0.14982,1
128,3.9427,5.8295,5.8567,0.8036,1
129,3.9798,7.3141,6.6331,-0.5311899999999999,1
130,4.0123,9.112,6.0202,-1.6481,1
131,4.04,9.6977,4.9442,-0.99429,1
132,4.0699,8.0769,2.7241,-0.081722,1
133,4.0999,7.2733,2.0703,-0.65378,1
134,4.1297,7.8589,3.7865,-2.1112,1
135,4.1598,9.4253,5.4345,-2.7513,1
136,4.1899,10.147,5.093999999999999,-2.5606,1
137,4.2206,8.2403,4.6309,-1.3348,1
138,4.2498,6.2109,4.3994,1.757,1
139,4.2808,10.079,4.3721,2.3699,1
140,4.3098,5.7478,4.7944,-3.7592,1
141,4.3398,-1.4165,5.1757,-2.3699,1
142,4.3698,2.0294,7.0145,0.9261799999999999,1
143,4.3998,7.8181,9.0439,2.5606,1
144,4.4298,9.1937,11.373,8.6898,1
145,4.4599,4.0997,10.501,2.9829,1
146,4.4897,1.2667,7.8862,2.0294,1
147,4.524,-0.14982,7.8181,2.5606,1
148,4.5598,1.8796,8.4991,-1.4574,1
149,4.6025,3.5685,9.9156,-0.46308999999999995,1
150,4.6298,0.19068,11.414000000000001,4.7944,1
151,4.6731,0.50395,11.182,1.3348,1
152,4.7098,-1.1441,8.6625,1.9477,1
153,4.7523,-1.3757,5.7478,3.6775,1
154,4.7812,-2.3699,6.5514,0.23155,1
155,4.8202,-3.2553,10.800999999999998,0.38137,1
156,4.8598,-3.2144,14.015,1.6481,1
157,4.9023,-3.7592,11.918,0.10895999999999999,1
158,4.9409,-4.4402,9.0439,-0.76274,1
159,4.9699,-4.2904,6.1292,1.9205,1
160,5.0,-4.4402,6.4697,-0.040861,1
161,5.0298,-3.2553,8.9622,-2.0703,1
162,5.0598,-0.99429,11.536,-0.65378,1
163,5.0898,-1.8796,11.918,1.0759999999999998,1
164,5.1201,-3.7184,11.645,0.50395,1
165,5.15,-3.1463,10.27,-1.1441,1
166,5.1798,-2.6015,8.3084,-2.2201,1
167,5.2101,-1.4982,6.7421,-2.9148,1
168,5.2399,-1.4574,7.1234,-2.4925,1
169,5.2698,-2.7513,11.305,-0.46308999999999995,1
170,5.2998,-3.7592,11.877,2.833,1
171,5.3298,-4.018,8.6625,1.6072,1
172,5.3598,-5.202999999999999,8.6625,-1.6072,1
173,5.3898,-3.1463,9.003,-3.7592,1
174,5.4198,-0.57205,9.6568,-2.4108,1
175,5.4499,-2.261,10.529000000000002,0.19068,1
176,5.4797,-3.4459,8.7306,1.9886,1
177,5.5098,-4.2495,8.54,0.50395,1
178,5.5399,-1.1169,10.338,-0.6946399999999999,1
179,5.5698,-0.50395,10.229,0.38137,1
180,5.5999,-2.3018,9.3844,1.6481,1
181,5.6301,-1.2258,9.616,0.6946399999999999,1
182,5.6599,-0.57205,9.9156,-0.57205,1
183,5.6899,-1.3076,9.9156,-0.34051,1
184,5.7198,-1.0759999999999998,9.3436,0.8036,1
185,5.7498,-0.8853200000000001,8.5808,1.0351,1
186,5.7798,-0.99429,8.5808,0.31327,1
187,5.8099,-1.3348,8.6898,-0.040861,1
188,5.8397,-2.6423,9.9565,0.50395,1
189,5.8698,-2.4517,10.311,0.76274,1
190,5.8998,-1.6072,9.9565,0.57205,1
191,5.9298,-1.4982,9.616,0.34051,1
192,5.9603,-1.757,9.7658,0.27241,1
193,5.9897,-1.5663,10.27,-0.14982,1
194,6.0198,-1.4165,9.9973,0.14982,1
195,6.0498,-0.99429,9.4253,-0.23155,1
196,6.0797,-0.5311899999999999,8.8124,-0.65378,1
197,6.1098,-1.6072,9.2346,-0.38137,1
198,6.1399,-1.3348,9.3027,-0.65378,1
199,6.1701,-2.5606,8.1995,-0.10895999999999999,1
200,6.1998,-3.0237,9.3844,0.081722,1
201,6.2299,-2.7513,9.5342,-0.10895999999999999,1
202,6.2598,-1.9205,9.0848,-1.3076,1
203,6.2901,-1.8387,9.7249,-1.6481,1
204,6.3198,-2.3699,9.8475,-0.8853200000000001,1
205,6.3498,-2.5606,9.3844,-0.72188,1
206,6.3798,-2.4108,8.431000000000001,-0.84446,1
207,6.4097,-1.0759999999999998,9.4253,-2.0294,1
208,6.4398,-1.5663,9.616,-1.7298,1
209,6.4698,-2.1112,9.1937,-1.0351,1
210,6.4998,-1.9205,9.3027,-1.185,1
211,6.5299,-1.7298,9.3027,-1.4165,1
212,6.5598,-2.1112,9.8066,-1.3076,1
213,6.5898,-2.7513,9.1529,-1.9205,1
214,6.6199,-2.1112,9.4661,-2.3699,1
215,6.6498,-1.8796,9.4661,-2.0703,1
216,6.6797,-1.8387,9.3844,-1.4574,1
217,6.7098,-1.7298,9.4661,-1.2258,1
218,6.7398,-1.7979,9.3027,-1.1441,1
219,6.7698,-1.8387,9.0439,-1.3757,1
220,6.7998,-1.6889,9.003,-2.2201,1
221,6.8298,-1.6889,9.4253,-2.4925,1
222,6.8598,-1.4982,9.8884,-2.0294,1
223,6.8898,-1.7979,8.7306,-0.8036,1
224,6.9198,-2.4925,8.6217,-2.0703,1
225,6.9510000000000005,-2.2201,9.6568,-2.9148,1
226,6.9799,-2.1793,10.038,-0.65378,1
227,7.0097,-1.7979,9.6568,-0.57205,1
228,7.0399,-1.7298,9.0848,-1.6072,1
229,7.0701,-2.0703,9.003,-2.3018,1
230,7.0998,-2.2201,9.2346,-2.0294,1
231,7.1298,-2.1793,9.5342,-1.3757,1
232,7.1598,-2.1384,9.6568,-1.185,1
233,7.1905,-2.261,9.5751,-1.185,1
234,7.2198,-2.1793,9.5342,-1.185,1
235,7.2498,-2.261,9.616,-1.3076,1
236,7.2798,-2.3427,9.4253,-1.757,1
237,7.3098,-2.3427,9.1937,-1.6889,1
238,7.3398,-1.9477,8.8124,-1.7298,1
239,7.3698,-1.6072,8.9213,-1.8387,1
240,7.3998,-1.8387,9.4661,-1.2258,1
241,7.4307,-2.3699,9.6568,-0.65378,1
242,7.4598,-2.4925,9.3436,-0.8853200000000001,1
243,7.4903,-2.4925,8.7715,-1.1441,1
244,7.5202,-2.6015,8.4991,-0.99429,1
245,7.5504,-2.7922,8.7715,-0.5311899999999999,1
246,7.5798,-2.7922,9.2346,-0.34051,1
247,7.6101,-2.6832,9.616,-0.50395,1
248,7.6401,-2.5606,9.616,-0.61292,1
249,7.67,-2.4925,9.507,-0.57205,1
250,7.6998,-2.6015,9.6977,-0.38137,1
251,7.7302,-2.5334,9.7249,-0.29965,1
252,7.7598,-2.261,9.507,-0.5311899999999999,1
253,7.7902,-2.4108,9.112,-0.76274,1
254,7.8198,-2.9148,8.8941,-0.6946399999999999,1
255,7.8502,-3.4051,9.003,-0.34051,1
256,7.8798,-3.6775,9.112,0.0,1
257,7.9099,-3.5685,9.112,0.27241,1
258,7.9398,-3.2553,8.9622,0.14982,1
259,7.971,-3.0646,9.0848,-0.081722,1
260,7.9998,-2.9148,9.1529,0.040861,1
261,8.0298,-2.8739,9.0439,0.19068,1
262,8.0598,-2.9148,8.9622,0.31327,1
263,8.0897,-3.0646,9.003,0.31327,1
264,8.1198,-3.1735,8.9622,0.14982,1
265,8.1497,-3.1463,9.112,0.040861,1
266,8.1798,-3.0237,9.1937,-0.040861,1
267,8.2097,-2.9556,9.1529,0.0,1
268,8.2398,-2.833,9.2755,-0.040861,1
269,8.2697,-2.7241,9.3436,-0.081722,1
270,8.2999,-2.6423,9.2346,-0.040861,1
271,8.3298,-2.5334,8.9622,0.040861,1
272,8.3599,-2.5334,8.9213,0.040861,1
273,8.3898,-2.6832,9.1937,0.10895999999999999,1
274,8.4199,-2.833,9.4661,0.081722,1
275,8.4505,-2.9556,9.4661,-0.040861,1
276,8.4799,-2.833,9.3844,-0.10895999999999999,1
277,8.5098,-2.7241,9.2755,0.040861,1
278,8.5399,-2.7241,9.2755,0.19068,1
279,8.5698,-2.833,9.2346,0.31327,1
280,8.5997,-2.7922,9.1937,0.081722,1
281,8.6298,-2.5606,9.1529,-0.34051,1
282,8.6598,-2.4925,9.112,-0.5311899999999999,1
283,8.6898,-2.5334,9.0848,-0.34051,1
284,8.7198,-2.6832,9.0439,-0.10895999999999999,1
285,8.7498,-2.7513,8.9622,-0.040861,1
286,8.7798,-2.833,9.0848,-0.19068,1
287,8.8098,-2.8739,9.2346,-0.29965,1
288,8.8401,-2.833,9.1529,-0.50395,1
289,8.8698,-2.6015,9.0439,-0.65378,1
290,8.8998,-2.4925,9.4253,-0.57205,1
291,8.9298,-2.833,9.507,-0.23155,1
292,8.9598,-3.1054,9.2755,-0.65378,1
293,8.9898,-3.1463,9.4661,-0.99429,1
294,9.0198,-3.0237,9.4253,-0.6946399999999999,1
295,9.0498,-2.7513,9.1529,-0.91256,1
296,9.0797,-2.5334,9.0848,-1.1169,1
297,9.1097,-2.6015,9.3027,-0.95342,1
298,9.1398,-2.6015,9.507,-0.8036,1
299,9.1698,-2.6832,9.2755,-0.91256,1
300,9.1998,-2.7513,9.112,-0.95342,1
301,9.2298,-2.7241,9.0439,-0.84446,1
302,9.2598,-2.5606,9.1529,-0.91256,1
303,9.29,-2.5334,9.3436,-1.0759999999999998,1
304,9.3198,-2.7513,9.1937,-1.185,1
305,9.3501,-3.0237,9.112,-1.3348,1
306,9.3799,-3.0237,9.0848,-1.3076,1
307,9.4098,-2.8739,8.8941,-1.1169,1
308,9.4398,-2.7922,8.7306,-1.1169,1
309,9.4705,-2.7513,9.003,-1.1169,1
310,9.4999,-2.833,9.3027,-1.1169,1
311,9.5298,-2.8739,9.4253,-1.3076,1
312,9.5599,-2.7922,9.3436,-1.3757,1
313,9.5898,-2.9148,9.0439,-1.2667,1
314,9.6198,-2.9148,9.112,-1.1169,1
315,9.6498,-2.6832,9.4661,-1.185,1
316,9.6809,-2.7513,9.4661,-1.3348,1
317,9.7098,-3.1054,9.2346,-1.3076,1
318,9.7398,-3.3642,8.9213,-1.3348,1
319,9.7699,-2.9829,8.7715,-1.3076,1
320,9.7998,-2.7922,8.8941,-1.185,1
321,9.8298,-2.7922,9.2346,-0.95342,1
322,9.8598,-2.833,9.2346,-1.0759999999999998,1
323,9.8898,-2.8739,9.1529,-1.4165,1
324,9.9198,-2.9829,9.0848,-1.3757,1
325,9.9497,-2.9829,9.003,-1.2667,1
326,9.9797,-2.833,9.3027,-1.1441,1
327,10.01,-2.7513,9.6977,-1.0759999999999998,1
328,10.04,-2.6832,9.4253,-1.0759999999999998,1
329,10.07,-2.9148,8.9213,-0.8853200000000001,1
330,10.1,-3.2961,8.7306,-0.8036,1
331,10.13,-3.4459,8.6898,-1.0351,1
332,10.16,-3.3369999999999997,8.6898,-1.1441,1
333,10.19,-3.1054,9.2755,-1.1169,1
334,10.22,-2.6423,9.7249,-0.91256,1
335,10.25,-2.5334,9.616,-0.8853200000000001,1
336,10.28,-2.6832,9.2755,-0.65378,1
337,10.31,-2.7241,9.0848,-0.72188,1
338,10.34,-2.6423,8.8532,-1.185,1
339,10.37,-2.9829,8.8532,-1.3757,1
340,10.4,-3.2144,9.0848,-1.2258,1
341,10.43,-3.1463,9.1937,-0.8036,1
342,10.46,-3.0237,9.112,-0.72188,1
343,10.49,-2.8739,9.1937,-0.76274,1
344,10.529000000000002,-2.8739,9.1937,-0.91256,1
345,10.56,-2.8739,9.112,-1.0759999999999998,1
346,10.59,-2.9148,9.1529,-1.0759999999999998,1
347,10.62,-2.9556,9.2755,-1.0759999999999998,1
348,10.65,-2.9556,9.2755,-1.1169,1
349,10.68,-2.9148,9.3436,-1.0759999999999998,1
350,10.71,-3.1054,9.2346,-0.91256,1
351,10.74,-3.2144,9.2346,-0.84446,1
352,10.77,-3.0646,9.112,-1.0351,1
353,10.8,-2.9829,9.0848,-1.0351,1
354,10.83,-3.0237,9.0848,-0.95342,1
355,10.86,-3.0237,9.0848,-0.91256,1
356,10.89,-3.0646,9.0439,-0.99429,1
357,10.92,-3.0237,9.112,-0.99429,1
358,10.95,-2.9829,9.1529,-0.99429,1
359,10.98,-3.1054,9.1529,-0.91256,1
360,11.01,-3.1463,9.0848,-0.95342,1
361,11.04,-3.1054,9.0439,-0.95342,1
362,11.07,-3.0646,9.0439,-0.91256,1
363,11.1,-3.0646,9.1529,-0.8853200000000001,1
364,11.13,-3.0237,9.112,-0.95342,1
365,11.16,-3.1463,9.0848,-0.95342,1
366,11.22,-3.0237,9.0848,-0.95342,1
367,11.25,-2.9829,9.0848,-0.99429,1
368,11.28,-3.0237,9.112,-0.95342,1
369,11.31,-3.1054,9.1937,-1.0351,1
370,11.34,-3.0646,9.1529,-1.0351,1
371,11.37,-2.9829,9.112,-1.0351,1
372,11.4,-2.9556,9.112,-0.99429,1
373,11.43,-2.9556,9.0848,-1.0351,1
374,11.46,-2.9829,9.112,-1.1169,1
375,11.49,-2.9829,9.1529,-1.1169,1
376,11.52,-3.0237,9.2346,-1.0759999999999998,1
377,11.55,-2.9556,9.1937,-1.0351,1
378,11.58,-2.9148,9.1529,-1.1169,1
379,11.61,-2.9556,9.1529,-1.0351,1
380,11.64,-2.9829,9.1937,-1.0351,1
381,11.67,-3.0646,9.1529,-1.0759999999999998,1
382,11.7,-3.0646,9.112,-1.0759999999999998,1
383,11.73,-2.9148,9.112,-1.0759999999999998,1
384,11.76,-2.8739,9.112,-1.1169,1
385,11.79,-2.9556,9.0848,-1.0759999999999998,1
386,11.82,-2.9556,9.1529,-1.0351,1
387,11.85,-2.9829,9.2346,-1.0351,1
388,11.88,-3.0237,9.1937,-1.0759999999999998,1
389,11.91,-3.0237,9.0848,-1.0759999999999998,1
390,11.94,-2.9556,9.112,-1.0759999999999998,1
391,11.970999999999998,-2.9148,9.1529,-1.0351,1
392,12.0,-2.9556,9.1937,-1.0759999999999998,1
393,12.03,-3.0237,9.112,-1.0759999999999998,1
394,12.06,-2.9829,9.1529,-1.1169,1
395,12.09,-2.9556,9.112,-1.1169,1
396,12.12,-2.9829,9.112,-1.1169,1
397,12.15,-2.9829,9.112,-1.1441,1
398,12.18,-2.9829,9.112,-1.0759999999999998,1
399,12.21,-3.0237,9.0848,-1.0351,1
400,12.24,-3.0237,9.0848,-1.1169,1
401,12.27,-2.9829,9.1937,-1.1169,1
402,12.302,-2.9829,9.1529,-1.0351,1
403,12.33,-2.8739,9.1937,-1.1441,1
404,12.36,-2.9829,9.1937,-1.1169,1
405,12.39,-3.0237,9.1529,-1.0759999999999998,1
406,12.42,-3.0237,9.0848,-1.0759999999999998,1
407,12.45,-2.9829,9.0848,-1.0759999999999998,1
408,12.51,-3.0237,9.0848,-0.99429,1
409,12.54,-3.0237,9.112,-1.0759999999999998,1
410,12.57,-3.0646,9.112,-1.0351,1
411,12.6,-2.9829,9.112,-1.0351,1
412,12.63,-2.9556,9.1529,-1.1169,1
413,12.66,-2.9829,9.1529,-1.0351,1
414,12.69,-3.0237,9.1529,-0.99429,1
415,12.72,-3.0646,9.112,-1.0351,1
416,12.75,-3.0646,9.1529,-1.0351,1
417,12.78,-3.0237,9.112,-1.0351,1
418,12.81,-3.0237,9.0848,-1.0351,1
419,12.87,-2.9829,9.112,-1.0351,1
420,12.9,-2.9829,9.1529,-0.99429,1
421,12.93,-2.9829,9.1529,-1.0351,1
422,12.96,-3.0237,9.112,-0.99429,1
423,12.99,-3.0646,9.1529,-0.99429,1
424,13.02,-3.0646,9.2346,-1.0351,1
425,13.05,-3.1054,9.1937,-0.99429,1
426,13.08,-3.0237,9.112,-0.95342,1
427,13.11,-2.9829,9.0848,-0.99429,1
428,13.14,-2.9556,9.0848,-0.95342,1
429,13.17,-2.9829,9.0439,-0.95342,1
430,13.218,-2.9829,9.1529,-1.0759999999999998,1
431,13.25,-3.1054,9.1937,-0.8853200000000001,1
432,13.28,-3.1463,9.112,-0.91256,1
433,13.31,-3.0646,9.0848,-1.0351,1
434,13.34,-2.9829,9.0848,-1.1169,1
435,13.37,-2.9556,9.1529,-1.0759999999999998,1
436,13.4,-3.0237,9.1529,-0.95342,1
437,13.43,-3.0646,9.1529,-0.91256,1
438,13.46,-2.9829,9.0848,-1.0759999999999998,1
439,13.49,-2.9148,9.0848,-1.1441,1
440,13.522,-2.8739,9.1937,-1.1441,1
441,13.56,-2.9148,9.1937,-1.0759999999999998,1
442,13.59,-2.9556,9.112,-0.99429,1
443,13.65,-2.9829,9.1529,-1.0759999999999998,1
444,13.68,-3.0237,9.1529,-1.0351,1
445,13.71,-2.9556,9.0439,-0.99429,1
446,13.74,-2.9148,8.9622,-0.99429,1
447,13.77,-2.8739,9.0439,-1.1169,1
448,13.8,-2.9148,9.1937,-1.1169,1
449,13.83,-3.0237,9.1937,-1.1169,1
450,13.86,-3.0646,9.112,-1.0351,1
451,13.89,-3.0237,8.9213,-0.91256,1
452,13.92,-2.9556,8.9213,-0.99429,1
453,13.95,-2.9556,9.112,-1.0759999999999998,1
454,13.98,-3.0237,9.2346,-1.0351,1
455,14.01,-3.1054,9.2346,-0.99429,1
456,14.04,-3.0237,9.1529,-1.0351,1
457,14.07,-3.0237,9.0848,-0.99429,1
458,14.1,-3.0646,9.112,-0.8853200000000001,1
459,14.13,-3.0646,9.112,-0.91256,1
460,14.16,-2.9829,9.1529,-0.99429,1
461,14.19,-2.9556,9.1937,-0.95342,1
462,14.22,-2.9556,9.003,-0.8853200000000001,1
463,14.25,-2.9148,8.9622,-0.91256,1
464,14.28,-2.9556,9.112,-0.84446,1
465,14.31,-2.9556,9.1937,-0.8853200000000001,1
466,14.34,-2.9556,9.1529,-0.8853200000000001,1
467,14.37,-2.9148,9.1529,-0.8853200000000001,1
468,14.4,-2.9148,9.2346,-0.84446,1
469,14.43,-2.9148,9.1937,-0.8853200000000001,1
470,14.46,-2.7922,9.112,-0.8853200000000001,1
471,14.5,-2.7513,9.1529,-0.8853200000000001,1
472,14.53,-2.833,9.2755,-0.8853200000000001,1
473,14.561,-2.833,9.1937,-0.8853200000000001,1
474,14.59,-2.833,9.1937,-0.84446,1
475,14.620999999999999,-2.7922,9.2755,-0.8036,1
476,14.651,-2.7513,9.2346,-0.84446,1
477,14.71,-2.7922,9.2346,-0.84446,1
478,14.74,-2.9148,9.2346,-0.8036,1
479,14.77,-2.9148,9.2755,-0.84446,1
480,14.8,-2.8739,9.1937,-0.6946399999999999,1
481,14.83,-2.9148,9.0848,-0.76274,1
482,14.86,-2.9556,9.0848,-0.8036,1
483,14.89,-2.9148,9.1529,-0.6946399999999999,1
484,14.92,-2.9829,9.1529,-0.72188,1
485,14.95,-3.0237,9.1529,-0.76274,1
486,14.98,-3.0237,9.2346,-0.6946399999999999,1
487,15.01,-3.1054,9.2346,-0.5311899999999999,1
488,15.04,-3.1463,9.2346,-0.61292,1
489,15.07,-3.1054,9.0848,-0.72188,1
490,15.1,-3.1054,9.0439,-0.6946399999999999,1
491,15.13,-3.1054,9.0439,-0.5311899999999999,1
492,15.16,-3.1463,9.0439,-0.50395,1
493,15.19,-3.1054,9.0439,-0.65378,1
494,15.22,-3.1054,9.0439,-0.6946399999999999,1
495,15.25,-3.1735,9.112,-0.57205,1
496,15.28,-3.2553,9.1937,-0.57205,1
497,15.31,-3.0646,9.2346,-0.6946399999999999,1
498,15.34,-2.9829,9.1937,-0.65378,1
499,15.370999999999999,-3.0237,9.1529,-0.61292,1
500,15.43,-2.9556,9.2346,-0.6946399999999999,1
501,15.46,-2.8739,9.2755,-0.6946399999999999,1
502,15.49,-2.7513,9.3027,-0.65378,1
503,15.52,-2.7922,9.3436,-0.6946399999999999,1
504,15.55,-2.833,9.3436,-0.6946399999999999,1
505,15.58,-2.7513,9.4253,-0.72188,1
506,15.61,-2.7241,9.3844,-0.6946399999999999,1
507,15.640999999999998,-2.6832,9.2346,-0.57205,1
508,15.67,-2.6832,9.1937,-0.50395,1
509,15.7,-2.6423,9.2346,-0.61292,1
510,15.73,-2.6015,9.3027,-0.5311899999999999,1
511,15.76,-2.6423,9.3436,-0.38137,1
512,15.79,-2.6423,9.2346,-0.38137,1
513,15.82,-2.5606,9.2346,-0.46308999999999995,1
514,15.85,-2.6015,9.1937,-0.42223,1
515,15.91,-2.5606,9.3436,-0.38137,1
516,15.94,-2.6423,9.4661,-0.27241,1
517,15.97,-2.6832,9.507,-0.23155,1
518,16.0,-2.5606,9.4661,-0.29965,1
519,16.03,-2.4925,9.3436,-0.19068,1
520,16.06,-2.5606,9.3027,-0.040861,1
521,16.09,-2.6423,9.3844,-0.081722,1
522,16.12,-2.4925,9.3844,-0.19068,1
523,16.15,-2.4108,9.3436,-0.19068,1
524,16.18,-2.4517,9.2755,-0.19068,1
525,16.21,-2.4517,9.1937,-0.081722,1
526,16.24,-2.5334,9.3027,0.081722,1
527,16.27,-2.5606,9.507,0.081722,1
528,16.3,-2.4925,9.3844,-0.081722,1
529,16.33,-2.4925,9.2346,-0.10895999999999999,1
530,16.36,-2.6015,9.2755,0.10895999999999999,1
531,16.39,-2.6832,9.1937,0.10895999999999999,1
532,16.42,-2.4925,9.1529,-0.19068,1
533,16.46,-2.4925,9.2346,-0.19068,1
534,16.49,-2.6832,9.3436,0.081722,1
535,16.52,-2.6423,9.3436,0.040861,1
536,16.55,-2.6832,9.3436,0.040861,1
537,16.58,-2.7241,9.2755,0.0,1
538,16.61,-2.5606,9.2755,-0.040861,1
539,16.64,-2.5606,9.3436,0.040861,1
540,16.67,-2.4925,9.3844,0.040861,1
541,16.7,-2.3427,9.3844,0.040861,1
